Time_s,X,Y,Z,Roll_deg,Pitch_deg,Yaw_deg,Ref_X,Ref_Y,Ref_Z,Ref_Yaw,vx,vy,vz,p,q,r,T_pert,tau_x,tau_y,tau_z,RPM_0,RPM_1,RPM_2,RPM_3
0.02,1.0,1.0,0.992356,-1.1255408474759133e-18,1.1255408474759133e-18,-1.1055283740816718e-38,1.0009,1.0009,1.0009,0.00015707963267948968,5.321067953201717e-21,5.321067953201717e-21,-0.33810000000000784,0.0,0.0,0.0,1.3030853064457075,-0.1022290277514996,0.10222902775149939,0.002938521815063937,565.3553816084612,565.3553816084614,543.2641335055453,604.650833581462
0.04000000000000001,0.9999999035202212,0.9999999035900499,0.9828286787600121,-0.009642422678698333,0.009642246307737445,0.0006341901245172675,1.00264519,1.00264519,1.00264519,0.00046167274840828814,3.106957021418132e-05,3.107687086720459e-05,-0.5177690067787658,-0.015733899106250657,0.015733459560754323,0.0008686139310979002,1.7563655611294309,-0.11147803360660388,0.11147806308882324,0.005865784487030371,572.304123256141,572.3041321334856,557.2745698037994,622.412266770497
0.06,0.9999994635546977,0.9999994648757469,0.9709916672011005,-0.10904275775513797,0.10903798138931642,0.0040665713609468026,1.005183287929,1.005183287929,1.005183287929,0.0009046544043992807,0.0007807465986662692,0.0007808750343088497,-0.608662719986829,-0.11838226361849122,0.11836590179275744,0.004132244590091414,2.2788027632733314,-0.110794639415989,0.1107953398475755,0.008259044283352742,581.7523238489212,581.7525313294295,574.8421077494922,637.8202713319308
0.08,1.000003955533019,1.0000039645421912,0.9584717316649515,-0.39158375241981724,0.39156891029173574,0.013000631444020411,1.0084644350231238,1.0084644350231238,1.0084644350231238,0.0014773226047463442,0.0037789163275550415,0.0037793801138496343,-0.6274025866247479,-0.293353602840699,0.2932427402107686,0.010766206792109219,2.559336703681957,-0.09660579883231668,0.09660786119921749,0.009853582338583529,586.2806553167035,586.2812615083196,588.6018674975505,642.6845851249982
0.1,1.000034044170521,1.0000340868504458,0.9461656745325243,-0.902326284420321,0.9023055233942702,0.027471363470119803,1.0124410953000795,1.0124410953000795,1.0124410953000795,0.002171380755407802,0.010206506737929942,0.010206083814817385,-0.6090529003477845,-0.4973118192901863,0.4969020510116831,0.020186683424549302,2.702451097176889,-0.07203590908277566,0.07203997112783614,0.011405019900982659,587.4301127264217,587.4313043466733,601.61535334631,641.5582255021269
0.12000000000000001,1.0001311377140467,1.000131306680487,0.934506887058245,-1.6393436353756163,1.6392307200845309,0.04431627831587049,1.0170679589746479,1.0170679589746479,1.0170679589746479,0.002978920807029195,0.02060391532156066,0.02059547499000152,-0.5724839995599169,-0.6894469661145317,0.688363143291302,0.03207399939201018,2.7750976273417187,-0.041124620600571704,0.04114737708296684,0.013947157741459163,585.276599089171,585.2832993432212,615.9242512787074,638.5278577187937
0.14,1.0003570117469014,1.0003575850091868,0.9237026210184343,-2.5650585366289045,2.564405843977485,0.059183938673891996,1.0223018496656648,1.0223018496656648,1.0223018496656648,0.0038924070595064675,0.03497296732198494,0.034935646355990724,-0.526792091231385,-0.8435558660020256,0.8412530036638064,0.04632804673445055,2.810023893403045,-0.00781194779587336,0.0079137100333962,0.017990768253655424,579.7975752192295,579.8278198794793,631.8567767618007,636.1311602164172
0.16000000000000003,1.0007896549572284,1.0007913251280778,0.9138448269700169,-3.6201998497667613,3.618100554007613,0.07042408805511861,1.0281016352505217,1.0281016352505217,1.0281016352505217,0.004904660603161038,0.053015977518308686,0.05290242607156992,-0.4761455755858024,-0.9416001947888948,0.9374311345477716,0.06412275532200197,2.824038229442873,0.02467094446608005,-0.024397182131898003,0.022831927124825215,572.4476784276548,572.5300839702782,647.8175247434114,634.6307250854518
0.18000000000000002,1.0015175278937516,1.0015217650777595,0.904969829440178,-4.733859306675039,4.729485713574511,0.08177010210161124,1.0344281422285617,1.0344281422285617,1.0344281422285617,0.006008844372332979,0.07425308172142807,0.07396958332035311,-0.42237010948656206,-0.9772005292459157,0.9705046859690075,0.08643567646900874,2.8253375991667222,0.053718221301051264,-0.0532180049134892,0.026786694708710368,566.0975667382423,566.2498169883725,660.9890807052175,632.4957449412765
0.2,1.0026330712651943,1.0026426187286233,0.8970850687843736,-5.832351419081901,5.82630682652449,0.10301885953418784,1.0412440734599135,1.0412440734599135,1.0412440734599135,0.007198448788098993,0.09814978424530203,0.09752964071963399,-0.36633122797171075,-0.9491689776169379,0.9393704752143069,0.11365326287234294,2.818274457882809,0.07741991842635698,-0.07678280968158481,0.027727962883746286,564.3720182356868,564.5665197772694,668.2557632137568,627.2317048578577
