Time_s,X,Y,Z,Roll_deg,Pitch_deg,Yaw_deg
0.0,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.01999999999998181,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.040000000000020464,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.060000000000002274,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.07999999999998408,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.0999999999999659,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.12000000000000455,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.13999999999998636,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.15999999999996817,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.18000000000000682,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.19999999999998863,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.21999999999997044,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.2400000000000091,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.2599999999999909,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.2799999999999727,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.30000000000001137,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.3199999999999932,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.339999999999975,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.36000000000001364,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
0.37999999999999545,-3.439364997547247e-19,2.1362624631105761e-19,0.024999882977679015,4.393797005669498e-18,-1.3205755660480495e-15,1.2039636671384457e-16
