Time_s,X,Y,Z,Roll_deg,Pitch_deg,Yaw_deg,Ref_X,Ref_Y,Ref_Z,Ref_Yaw,vx,vy,vz,p,q,r,T_pert,tau_x,tau_y,tau_z,RPM_0,RPM_1,RPM_2,RPM_3
0.0040000000000000036,1.0221975646044887e-22,-4.0,0.010006999594037988,-7.417734548572634e-19,7.147505149775166e-19,-9.884920825861219e-20,1.96820473696698e-22,-4.0,0.010074639714689831,-3.6950793544352725e-22,2.8463870859018855e-19,-800.0,2.0013999188075973,0.0,0.0,0.0,0.13727673356390743,8.661928940161907e-19,2.677392694381021e-19,9.074014405973438e-20,539.3555031529193,539.3555031529194,539.3555031529193,539.3555031529194
0.007999999999999993,2.008917082915978e-22,-4.0,0.01001099936604295,-5.913424319702663e-19,1.4619567972158598e-18,-9.667959719720586e-20,1.9680638739700902e-22,-4.0,0.01021705724096241,-3.694814900264507e-22,1.6908525933400032e-19,-444.44444444444446,1.112333262893661,0.0,0.0,0.0,0.28307763445396705,-1.2493895042154463e-19,-3.0944210420715402e-18,6.570283338890512e-22,543.2938902409246,543.2938902409246,543.2938902409246,543.2938902409246
0.011999999999999997,4.2285399936353977e-22,-4.0,0.010014999147004025,-1.5811111543524527e-19,2.4990920033296672e-18,-2.993303892225581e-20,1.9678538510297003e-22,-4.0,0.010429397942859043,-3.694420606207381e-22,2.691015351168395e-20,-9.849528835196493e-24,0.000999943864330756,0.0,0.0,0.0,0.42940121619331495,-4.654608452086265e-19,-2.8296758591174914e-18,-7.486721752149892e-20,547.2178991675321,547.2178991675322,547.2178991675321,547.2178991675321
0.016,6.4904489927960335e-22,-4.0,0.010018998946059194,2.6055546661828647e-19,2.8688437773592573e-18,-6.296454035486172e-21,1.9675755056259578e-22,-4.0,0.010710815098006973,-3.6938980445371174e-22,5.148034312797344e-20,-2.801605854933285e-24,0.0009999466343935809,0.0,0.0,0.0,0.5762362185818668,-4.78078518014865e-19,-8.382570262460235e-19,-2.724782883190209e-20,551.1275382973164,551.1275382973165,551.1275382973164,551.1275382973165
0.020000000000000004,6.422822962676918e-22,-4.0,0.010022998767494386,1.5872953344239692e-18,2.0150308150289e-18,2.209101106387207e-20,1.9672296676488579e-22,-4.0,0.0110604696579496,-3.693248773277293e-22,4.497957369603889e-20,8.462173970396769e-24,0.0009999512801435115,0.0,0.0,0.0,0.7235715096159987,-1.567094526092344e-18,3.3233508572341555e-18,-3.376723139360735e-20,555.0228180200033,555.0228180200035,555.0228180200033,555.0228180200033
0.024000000000000007,7.476368854156421e-22,-4.0,0.010026998612537284,3.0231631602250337e-18,2.9000146098948174e-18,2.4218245616694384e-22,1.9668171594594476e-22,-4.0,0.011477530186265229,-3.6924743363167492e-22,2.141251946926288e-20,2.8407349604951886e-23,0.0009999568628812558,0.0,0.0,0.0,0.8713960694935987,-1.785252397353096e-18,-2.476678200151173e-18,2.3752013344776492e-20,558.9037502638403,558.9037502638404,558.9037502638403,558.9037502638404
0.02800000000000001,7.653461637334527e-22,-4.0,0.010030998480727521,3.577462537948308e-18,2.8321234368528076e-18,-1.818172876979055e-19,1.9663387959505699e-22,-4.0,0.011961172797154364,-3.6915762635236243e-22,5.735303985671908e-21,4.885589433782143e-23,0.0009999626885833293,0.0,0.0,0.0,1.0196989904252962,-8.540044088920324e-19,8.093240752482012e-19,2.1180156967318466e-19,562.7703484404891,562.7703484404892,562.7703484404891,562.7703484404892
0.032000000000000015,8.55116284577365e-22,-4.0,0.010034998370715222,3.1738168306989752e-18,3.55384010922863e-18,-2.7765681107561714e-19,1.9657953846071442e-22,-4.0,0.012510581094492133,-3.6905560708585302e-22,1.900166823188169e-20,5.812360081335825e-23,0.0009999683639558277,0.0,0.0,0.0,1.1684694767674415,2.2671479447138073e-19,-1.8966944027395645e-18,1.18560014245349e-19,566.6226274010503,566.6226274010503,566.6226274010503,566.6226274010503
0.03599999999999999,8.4667180471246525e-22,-4.0,0.010038998280666204,3.2754337546606e-18,3.584392370826832e-18,-1.582985189873093e-19,1.965187725565994e-22,-4.0,0.013124946111342442,-3.6894152604868663e-22,4.2465052863934186e-21,5.935518444265417e-23,0.000999973686764341,0.0,0.0,0.0,1.317696844819074,-3.3569449771580747e-19,7.846032716261514e-19,-1.288885368521081e-19,570.4606033858053,570.4606033858054,570.4606033858053,570.4606033858054
0.039999999999999994,1.007201084543207e-21,-4.0,0.010042998208610886,3.201138384932473e-18,4.4771127775994745e-18,-4.337042562366252e-19,1.9645166116752172e-22,-4.0,0.013803466249930544,-3.6881553208902846e-22,1.7142385100097695e-20,5.727178289600684e-23,0.0009999785513118212,0.0,0.0,0.0,1.4673705219550788,-1.3722481976057076e-19,-3.2563464797745537e-18,3.2735810356813864e-19,574.2842939595997,574.2842939595998,574.2842939595997,574.2842939595997
