Time_s,X,Y,Z,Roll_deg,Pitch_deg,Yaw_deg,Ref_X,Ref_Y,Ref_Z,Ref_Yaw,vx,vy,vz,p,q,r,T_pert,tau_x,tau_y,tau_z,RPM_0,RPM_1,RPM_2,RPM_3
0.0,3.907672823421635e-23,-2.0,0.010006999594037988,3.1588276933026285e-18,-1.2404722931936249e-18,-1.2671305083394822e-20,0.0,0.0,0.0018,0.0,-7.173352330779748e-20,-400.0,2.0013999188075973,0.0,0.0,0.0,-0.2617578078062146,-1.0,8.791191257433574e-20,5.23863058419095e-22,671.9823942616198,326.9696466733354,326.9696466733352,671.9823942616199
0.0040000000000000036,-2.2845147947142647e-22,-2.0,0.010010999365392528,4.225032291713385e-18,-3.0182454625789816e-18,-5.043015736345434e-21,0.0,0.0,0.0022276152000000006,0.0,-6.955654838364261e-20,-222.22222222222223,1.1123332628213918,0.0,0.0,0.0,0.5979438201855982,-1.0,5.282194954616784e-18,-8.386300535179975e-21,690.4360855811035,363.3879468566115,363.38794685661134,690.4360855811035
0.008,-2.5497588390542926e-22,-2.0,0.010014999136747069,6.781910353186164e-18,-3.0197562868281444e-18,-4.5045826412275385e-22,0.0,0.0,0.0027220188234528,0.0,-2.4966909670029753e-20,8.242035927722275e-23,0.0009999428386350817,0.0,0.0,0.0,0.7469650936410832,-1.0,-2.3679603789316472e-18,-5.152975704792664e-21,693.5849329723077,369.3357157036227,369.3357157036226,693.5849329723077
0.012000000000000004,-7.967076187211747e-23,-4.0,0.010018998908101609,-1.118750166463498e-18,7.42624295240663e-19,-2.366002706563282e-19,0.0,0.0,0.0032823916107465228,0.0,-2.1668185325106278e-20,-3.120855137539694e-23,0.0009999428386350817,0.0,0.0,0.0,0.8964547398850998,-1.0,-6.503745386710333e-18,2.7588362711024535e-19,696.7293790314195,375.2074616177218,375.2074616177216,696.7293790314195
0.012000000000000004,-2.9637167455533226e-21,-5.999999999959355,0.010018999017371797,-9.322472987266558e-08,-6.731030321629222e-18,1.410807854844708e-19,0.0,0.0,0.0077131895585773455,0.0,-2.0634589059857284e-19,3.813792117671947e-09,0.0009999531331277745,0.0,0.0,0.0,-0.07379393592776633,-1.0,5.166890656153734e-19,-5.8113037805314155e-21,676.0601088542337,335.27016334905954,335.2701633490594,676.0601088542338
0.016000000000000007,-1.790870985573632e-22,-4.0,0.01002299867945615,5.639074178672896e-19,5.184391000672441e-19,-2.935665008464104e-19,0.0,0.0,0.008660437558244609,0.0,6.498711214173164e-21,-1.665011591162823e-23,0.0009999428386350817,0.0,0.0,0.0,1.8405348029066018,1.0,-4.0390387774434546e-17,5.019156080656664e-19,410.3533902107049,716.2688693565515,716.2688693565514,410.35339021070496
0.02000000000000001,-2.804463817309464e-23,-2.0,0.01002699845081069,9.390763323155573e-18,-1.454759698654859e-18,5.033515464216558e-21,0.0,0.0,0.009668006806163768,0.0,1.9530970591465025e-20,1.4851007939685628e-22,0.0009999428386350817,0.0,0.0,0.0,1.9930213959267575,1.0,3.0666556581058814e-17,-3.3676467863935467e-19,415.7515096732612,719.3750802936457,719.3750802936457,415.75150967326124
0.024,1.43261260582067e-22,-2.0,0.01003099822216523,1.2040911044248055e-17,4.428274880899712e-21,2.552344569757552e-20,0.0,0.0,0.010735137174862871,0.0,3.7998637551434245e-20,1.7325104083147113e-22,0.0009999428386350817,0.0,0.0,0.0,2.145892478751318,-1.0,-1.9504491429001327e-18,-2.4149949555030897e-20,722.4757181698741,421.0937840828121,421.09378408281196,722.4757181698741
0.024,-2.225787059006884e-22,-4.0,0.01003099822216523,-3.39312279359937e-19,3.005101214973433e-19,-3.875593609097028e-19,0.0,0.0,0.017540988284291292,0.0,-1.2271346708395889e-20,2.111337446697382e-25,0.0009999428386350817,0.0,0.0,0.0,0.23922548850632522,-1.0,-5.340679805534178e-21,1.6013100997861974e-20,682.7967529722287,348.6548687707163,348.6548687707161,682.7967529722288
0.028000000000000004,-4.653416372963224e-13,-5.999985528395145,0.010078377773695208,-0.033142380405588465,-4.436658807116605e-10,-2.074177849684043e-10,0.0,0.0,0.018957192987936116,0.0,-4.652733423150953e-11,0.00144550439758875,0.005338380410559918,-0.05784399100046943,-7.742004407324344e-10,-3.6240412374252653e-10,3.0173086113349825,-1.0,5.940681785092312e-09,2.422967713488715e-10,739.9022896469711,450.33788639242886,450.3378851026402,739.9022916291551
